titleId,dom_total_sales,int_total_sales,dom_distributer,dom_opening,budget,release_date,mpaa_rating
tt0187393,"$113,330,342","$101,964,000","Sony Pictures ReleasingSee full company information

","$22,413,710","$110,000,000","June 28, 2000
            (Domestic)",R
tt0283897,"$1,013,272",~na~,"United ArtistsSee full company information

","$64,474",~na~,R,1 hr 54 min
tt0475998,"$12,981,269","$266,456","Universal PicturesSee full company information

","$4,251,320",~na~,G,1 hr 25 min
tt0204946,"$68,379,000","$22,070,929","Universal PicturesSee full company information

","$17,362,105","$11,000,000","August 25, 2000
            (Domestic)",PG-13
tt1549920,"$12,050,299","$36,280,458","LionsgateSee full company information

","$6,281,433","$45,000,000","January 17, 2013
            (APAC, EMEA)",R
tt0208003,"$117,559,438","$56,400,000","Twentieth Century FoxSee full company information

","$25,661,041","$30,000,000","June 2, 2000
            (Domestic)",PG-13
tt1841542,"$6,330","$825,820","UTV Motion PicturesSee full company information

","$4,155",~na~,2 hr 15 min,"Comedy
    
        Drama
    
        Family"
tt3074780,"$213,064","$7,001","RADiUS-TWCSee full company information

","$23,017",~na~,R,1 hr 25 min
tt1155056,"$71,440,011","$20,540,348","DreamWorksSee full company information

","$17,810,270",~na~,R,1 hr 45 min
tt0449088,"$309,420,425","$651,576,067","Walt Disney Studios Motion PicturesSee full company information

","$114,732,820","$300,000,000","May 22, 2007
            (Finland)",PG-13
tt0317132,"$32,647,042","$942,385","Twentieth Century FoxSee full company information

","$10,208,431","$14,000,000","February 18, 2005
            (Domestic)",PG
tt0376717,"$527,000","$302,140",P & A Releasing,"$403,164",~na~,PG-13,1 hr 30 min
tt0258038,"$3,313,583",~na~,"Paramount PicturesSee full company information

","$1,506,233","$7,000,000","June 29, 2001
            (Domestic)",PG-13
tt0408790,"$89,707,299","$133,680,000","Walt Disney Studios Motion PicturesSee full company information

","$24,629,938",~na~,PG-13,1 hr 38 min
tt6105098,"$543,638,043","$1,113,305,351","Walt Disney Studios Motion PicturesSee full company information

","$191,770,759","$260,000,000","July 12, 2019
            (China)",PG
tt3332064,"$35,088,320","$93,300,000","Warner Bros.See full company information

","$15,315,435","$150,000,000","September 24, 2015
            (Australia)",PG
tt8426594,"$28,252","$102,722","IFC FilmsSee full company information

","$14,138",~na~,R,1 hr 26 min
tt1545106,"$3,361","$89,387","Anchor Bay FilmsSee full company information

",$548,~na~,PG-13,1 hr 32 min
tt0245844,"$54,234,062","$21,160,986","Walt Disney Studios Motion PicturesSee full company information

","$11,376,150","$35,000,000","January 25, 2002
            (Domestic)",PG-13
tt4864932,"$438,207","$238,395","UTV Motion PicturesSee full company information

","$237,215",~na~,2 hr 13 min,"Action
    
        Thriller"
tt3914332,"$254,536",~na~,"CBS FilmsSee full company information

","$60,366",~na~,PG-13,1 hr 34 min
tt0424095,"$64,665,672","$113,615,882","DreamWorksSee full company information

","$18,814,323","$149,000,000","November 2, 2006
            (APAC, EMEA)",PG
tt0417217,"$22,991,379","$7,535,130","Universal PicturesSee full company information

","$8,703,240","$35,000,000","October 7, 2005
            (Domestic)",R
