,titleId,ordering,title,region,language,types,attributes,isOriginalTitle
80622,tt0160127,33,Charlie's Angels,US,,,,0.0
80623,tt0160127,37,Charlie's Angels: The Movie,US,,working,,0.0
82565,tt0163579,16,Chill Factor,US,,,,0.0
82587,tt0163651,10,East Great Falls High,US,,working,,0.0
82588,tt0163651,16,Great Falls,US,,working,,0.0
82589,tt0163651,1,American Pie,US,,,,0.0
82590,tt0163651,21,Untitled Teenage Sex Comedy That Can Be Made for Under $10 Million That Most Readers Will Probably Hate But I Think You Will Love,US,,working,,0.0
82591,tt0163651,26,Untitled Teenage Sex Project,US,,working,,0.0
82702,tt0163988,34,Bringing Out the Dead,US,,imdbDisplay,,0.0
83376,tt0165929,12,Romeo Must Die,US,,imdbDisplay,,0.0
83618,tt0166485,21,Anna and the King,US,,,,0.0
83619,tt0166485,8,Anna,US,,working,,0.0
84064,tt0167456,11,The Thunderbirds,US,,working,,0.0
84489,tt0168501,15,The Best Man,US,,imdbDisplay,,0.0
84653,tt0168786,1,Antwone Fisher,US,,,,0.0
84654,tt0168786,2,The Antwone Fisher Story,US,,working,,0.0
84655,tt0168786,7,Fish,US,,,original script title,0.0
84656,tt0168786,8,Finding Fish,US,,working,,0.0
85546,tt0172156,39,Bad Boys II,US,,,,0.0
85547,tt0172156,47,Bad Boys 2,US,,,alternative spelling,0.0
85548,tt0172156,4,Bad Around the World,US,,working,,0.0
86633,tt0175880,15,Mag·no'li·a,US,,,promotional title,0.0
86634,tt0175880,1,Magnolia,US,,,,0.0
87459,tt0177971,4,The Perfect Storm,US,,imdbDisplay,,0.0
87962,tt0179098,21,Moonlight Mile,US,,,,0.0
87963,tt0179098,22,Baby's in Black,US,,working,,0.0
87964,tt0179098,24,Goodbye Hello,US,,working,,0.0
90077,tt0183523,14,M2M,US,,,promotional abbreviation,0.0
90078,tt0183523,5,Mission to Mars,US,,,,0.0
90100,tt0183649,39,Phone Booth,US,,imdbDisplay,,0.0
90618,tt0184858,3,Deception,US,,working,,0.0
90619,tt0184858,9,Reindeer Games,US,,,,0.0
91539,tt0187393,26,The Patriot,US,,imdbDisplay,,0.0
91736,tt0187859,3,Genghis Blues,US,,,,0.0
92262,tt0189192,18,Just Visiting,US,,imdbDisplay,,0.0
92807,tt0190138,23,The Whole Nine Yards,US,,imdbDisplay,,0.0
93187,tt0190865,12,Vertical Limit,US,,imdbDisplay,,0.0
95044,tt0195778,7,Here on Earth,US,,,,0.0
96831,tt0199626,12,In the Cut,US,,imdbDisplay,,0.0
97064,tt0200469,19,Bats,US,,,,0.0
97065,tt0200469,1,Blood Moon,US,,,original script title,0.0
98569,tt0204626,16,The Watcher,US,,,,0.0
98570,tt0204626,23,Driven,US,,working,,0.0
98678,tt0204946,13,Jump,US,,working,,0.0
98679,tt0204946,24,Cheer Fever,US,,working,,0.0
98680,tt0204946,3,Bring It On,US,,,,0.0
99685,tt0208003,9,Big Momma's House,US,,imdbDisplay,,0.0
100423,tt0210234,14,Pokémon: The Power of One,US,,,literal title,0.0
100424,tt0210234,19,Pokémon the Movie 2000,US,,imdbDisplay,,0.0
100425,tt0210234,26,Pokémon the Movie 2000 - The Power of One,US,,alternative,,0.0
100426,tt0210234,27,Pokémon 2,US,,,short title,0.0
100427,tt0210234,35,Pokemon: Power of One,US,,,,0.0
100744,tt0211181,30,102 Dalmatians,US,,imdbDisplay,,0.0
101019,tt0211933,8,Awake,US,,imdbDisplay,,0.0
101202,tt0212338,42,Meet the Parents,US,,imdbDisplay,,0.0
101544,tt0213149,10,Tennessee,US,,working,,0.0
101545,tt0213149,23,Pearl Harbor,US,,,,0.0
102510,tt0215750,9,Enemy at the Gates,US,,imdbDisplay,,0.0
102699,tt0216216,29,The Sixth Day,US,,,alternative spelling,0.0
102700,tt0216216,37,The 6th Day,US,,,,0.0
102701,tt0216216,6,On the Sixth Day,US,,working,,0.0
103294,tt0217630,14,Loser,US,,,,0.0
103295,tt0217630,24,The Loser,US,,alternative,,0.0
103392,tt0217869,30,Untitled M. Night Shyamalan Project,US,,working,,0.0
103393,tt0217869,38,No Ordinary Man,US,,working,,0.0
103394,tt0217869,7,Unbreakable,US,,,,0.0
103524,tt0218182,7,An Everlasting Piece,US,,imdbDisplay,,0.0
103902,tt0218967,32,The Family Man,US,,imdbDisplay,,0.0
104344,tt0219854,12,Disney's The Kid,US,,,complete title,0.0
104345,tt0219854,22,The Kid,US,,,,0.0
108281,tt0230011,32,Atlantis,US,,working,,0.0
108282,tt0230011,9,Atlantis: The Lost Empire,US,,,,0.0
108688,tt0231402,24,Crocodile Dundee 3,US,,working,,0.0
108689,tt0231402,33,Crocodile Dundee in Hollywood,US,,working,,0.0
109364,tt0233469,8,Collateral Damage,US,,imdbDisplay,,0.0
110411,tt0235737,15,The Salton Sea,US,,imdbDisplay,,0.0
111723,tt0239395,10,Like Cats & Dogs,US,,working,,0.0
111724,tt0239395,12,Fighting Like Cats and Dogs,US,,working,,0.0
111725,tt0239395,17,Felines and Canines,US,,working,,0.0
111726,tt0239395,18,Cats & Dogs,US,,,,0.0
111727,tt0239395,40,Cats and Dogs,US,,,alternative spelling,0.0
112222,tt0240468,12,The Dubbed Action Movie: Enter the Fist,US,,working,,0.0
112223,tt0240468,13,Kung Pow! Enter the Fist,US,,,video box title,0.0
112224,tt0240468,4,Kung Pow: Enter the Fist,US,,,,0.0
